"lon","lat","month","pr","rlds","rsds","sfcWind","tas","uas","vas","PM25","PM10","SO2","VOC","OC","CO","CO2","BC","NH3","NOx"
112.0369,22.9394,"202001",2.0378779481689e-06,299.376281738281,163.683029174805,3.65712356567383,283.671081542969,-1.69259440898895,-2.73190760612488,37.4764022827148,70.698371887207,227.929351806641,291.181549072266,4.45835494995117,875.994079589844,436261.59375,5.07414436340332,237.600601196289,420.844573974609
112.0369,22.9394,"202002",2.21477489503741e-06,319.467651367188,181.958908081055,3.01848840713501,287.263366699219,-1.26492750644684,-1.31204116344452,32.0185813903809,55.9834976196289,156.785446166992,258.708282470703,4.18439626693726,691.562561035156,279131.65625,4.80105066299438,235.435562133789,296.559722900391
112.0369,22.9394,"202003",2.36139894695953e-05,383.2529296875,123.248481750488,3.29956078529358,292.1396484375,-1.02113306522369,0.56901741027832,44.5650634765625,80.3013000488281,231.617935180664,407.335601806641,5.04081201553345,946.391662597656,410554.1875,5.82260656356812,250.816268920898,416.390838623047
112.0369,22.9394,"202004",2.26967185881222e-05,374.439788818359,172.878601074219,2.90463376045227,293.521881103516,-1.03650283813477,-0.044862549751997,45.9510116577148,84.7207260131836,247.078353881836,385.879638671875,4.90855121612549,983.78955078125,453960.3125,5.65927314758301,298.654022216797,448.366912841797
112.0369,22.9394,"202005",3.19711434713099e-05,414.395904541016,194.855590820312,3.00270009040833,297.693450927734,-0.681912839412689,1.15737235546112,48.1145401000977,89.4339981079102,264.292266845703,397.590148925781,5.01859998703003,1036.50732421875,489768.84375,5.76479434967041,338.071716308594,478.945922851562
112.0369,22.9394,"202006",3.60679732693825e-05,423.394561767578,266.443206787109,2.66047811508179,301.585876464844,-0.254016697406769,1.81940162181854,51.9307136535645,96.0673141479492,285.414123535156,473.182800292969,5.32449865341187,1111.94116210938,516417.75,6.20485067367554,372.926574707031,507.676147460938
112.0369,22.9394,"202007",4.25541438744403e-05,429.294738769531,247.713562011719,3.04346394538879,301.645690917969,-1.66491067409515,1.68258416652679,48.7531776428223,91.0625991821289,272.551727294922,408.408294677734,5.0616660118103,1058.55908203125,506586.0625,5.82698106765747,366.667633056641,493.361358642578
112.0369,22.9394,"202008",0.000115896364150103,428.372955322266,220.258499145508,2.62338805198669,301.155364990234,0.0263606980443001,0.800289273262024,49.6425247192383,93.2376403808594,283.097625732422,420.575378417969,5.12453937530518,1088.62854003906,526341.25,5.90712118148804,381.582977294922,507.628784179688
112.0369,22.9394,"202009",6.3240422605304e-06,386.525634765625,262.810577392578,3.4446918964386,300.920196533203,-1.73394000530243,-1.36097431182861,52.8678855895996,95.2307739257812,265.159271240234,511.351501464844,5.5296049118042,1085.8447265625,458534.5625,6.46256303787231,312.103240966797,467.958648681641
112.0369,22.9394,"202010",1.86190482054371e-05,368.959716796875,199.789901733398,3.46399736404419,295.750366210938,-2.0789852142334,-1.23780798912048,49.3776016235352,87.4691696166992,231.260894775391,459.722198486328,5.34974431991577,992.692504882812,394039.09375,6.18449449539185,272.920318603516,412.354614257812
112.0369,22.9394,"202011",2.83388231991921e-07,297.884490966797,193.661865234375,3.91730117797852,287.4443359375,-1.94073581695557,-2.6755702495575,52.7566108703613,93.8978271484375,248.210403442383,505.020721435547,5.51552772521973,1052.16333007812,420753,6.42578554153442,281.111419677734,437.281585693359
112.0369,22.9394,"202012",1.87549551355914e-06,314.267639160156,146.244476318359,3.20540547370911,286.665161132812,-1.41128504276276,-1.74575316905975,56.6725311279297,100.957916259766,267.922698974609,567.147277832031,5.7955493927002,1121.67102050781,453211.9375,6.76539087295532,259.240570068359,469.094512939453
112.0391,22.9169,"202001",2.0378779481689e-06,299.376281738281,163.683029174805,3.65712356567383,283.671081542969,-1.69259440898895,-2.73190760612488,37.4764022827148,70.698371887207,227.929351806641,291.181549072266,4.45835494995117,875.994079589844,436261.59375,5.07414436340332,237.600601196289,420.844573974609
112.0391,22.9169,"202002",2.21477489503741e-06,319.467651367188,181.958908081055,3.01848840713501,287.263366699219,-1.26492750644684,-1.31204116344452,32.0185813903809,55.9834976196289,156.785446166992,258.708282470703,4.18439626693726,691.562561035156,279131.65625,4.80105066299438,235.435562133789,296.559722900391
112.0391,22.9169,"202003",2.36139894695953e-05,383.2529296875,123.248481750488,3.29956078529358,292.1396484375,-1.02113306522369,0.56901741027832,44.5650634765625,80.3013000488281,231.617935180664,407.335601806641,5.04081201553345,946.391662597656,410554.1875,5.82260656356812,250.816268920898,416.390838623047
112.0391,22.9169,"202004",2.26967185881222e-05,374.439788818359,172.878601074219,2.90463376045227,293.521881103516,-1.03650283813477,-0.044862549751997,45.9510116577148,84.7207260131836,247.078353881836,385.879638671875,4.90855121612549,983.78955078125,453960.3125,5.65927314758301,298.654022216797,448.366912841797
112.0391,22.9169,"202005",3.19711434713099e-05,414.395904541016,194.855590820312,3.00270009040833,297.693450927734,-0.681912839412689,1.15737235546112,48.1145401000977,89.4339981079102,264.292266845703,397.590148925781,5.01859998703003,1036.50732421875,489768.84375,5.76479434967041,338.071716308594,478.945922851562
112.0391,22.9169,"202006",3.60679732693825e-05,423.394561767578,266.443206787109,2.66047811508179,301.585876464844,-0.254016697406769,1.81940162181854,51.9307136535645,96.0673141479492,285.414123535156,473.182800292969,5.32449865341187,1111.94116210938,516417.75,6.20485067367554,372.926574707031,507.676147460938
